,position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2131,37132,Magic: The Gathering - Duels of the Planeswalkers,XBL,Wizards of the Coast  ,Stainless Games  ,N/A  ,8.0  ,N/A  ,,,,,,,17th Jun 09  ,
2134,37135,Magic: The Gathering - Duels of the Planeswalkers 2012,PSN,Wizards of the Coast  ,Stainless Games  ,N/A  ,7.3  ,N/A  ,,,,,,,14th Jun 11  ,
2135,37136,Magic: The Gathering - Duels of the Planeswalkers 2012,XBL,Wizards of the Coast  ,Stainless Games  ,N/A  ,7.7  ,N/A  ,,,,,,,15th Jun 11  ,
2201,37202,Magicka: Vietnam,PC,Paradox Interactive   ,Arrowhead Game Studios  ,N/A  ,5.5  ,N/A  ,,,,,,,21st Apr 11  ,
2319,37320,Majesty 2: Battles of Ardania,PC,Paradox Interactive   ,1C:Ino-Co  ,N/A  ,4.5  ,N/A  ,,,,,,,09th Nov 10  ,
2329,37330,Major League Baseball 2K10,PC,2K Sports  ,Visual Concepts  ,N/A  ,7.3  ,N/A  ,,,,,,,02nd Mar 10  ,
2357,37358,Make Up & Style,DSiW,Unknown  ,Cypronia  ,N/A  ,4.0  ,N/A  ,,,,,,,07th Jul 11  ,
2358,37359,Maken X,DC,Atlus  ,Atlus Co.  ,N/A  ,7.9  ,N/A  ,,,,,,,31st Oct 99  ,
2397,37398,Maniac Mansion: Day of the Tentacle,PC,LucasArts  ,LucasArts  ,N/A  ,9.0  ,N/A  ,,,,,,,09th Mar 93  ,
2436,37437,Marble Blast Ultra,XBL,Microsoft  ,GarageGames.com  ,N/A  ,7.2  ,N/A  ,,,,,,,23rd Jan 06  ,
2477,37478,Mario Calculator,DSiW,Nintendo  ,Nintendo  ,N/A  ,6.0  ,N/A  ,,,,,,,15th Jun 09  ,
2479,37480,Mario Clock,DSiW,Nintendo  ,Nintendo  ,N/A  ,3.5  ,N/A  ,,,,,,,15th Jun 09  ,
2484,37485,Mario Kart 64,VC,Nintendo  ,Nintendo EAD  ,N/A  ,7.1  ,N/A  ,,,,,,,29th Jan 07  ,
2495,37496,Mario vs. Donkey Kong: Minis March Again!,DSiW,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,8.1  ,N/A  ,,,,,,,08th Jun 09  ,
2531,37532,Mars Matrix,DC,Capcom  ,Takumi  ,N/A  ,7.9  ,N/A  ,,,,,,,30th Apr 01  ,
2597,37598,Marvel vs. Capcom 2,PSN,Capcom  ,Backbone Emeryville  ,N/A  ,8.6  ,N/A  ,,,,,,,13th Aug 09  ,
2598,37599,Marvel vs. Capcom 2,XBL,Capcom  ,Backbone Emeryville  ,N/A  ,8.3  ,N/A  ,,,,,,,29th Jul 09  ,
2601,37602,Marvel: Ultimate Alliance,XB,Activision  ,Raven Software  ,N/A  ,8.2  ,N/A  ,,,,,,,25th Oct 06  ,
2602,37603,Marvel: Ultimate Alliance,GBA,Activision  ,Barking Lizards  ,N/A  ,2.3  ,N/A  ,,,,,,,24th Oct 06  ,
2624,37625,Mass Effect 2,PSN,Electronic Arts  ,BioWare Edmonton  ,N/A  ,9.3  ,N/A  ,,,,,,,18th Jan 11  ,
2627,37628,Mass Effect 2: Kasumi's Stolen Memory,PC,Electronic Arts  ,BioWare Edmonton  ,N/A  ,6.7  ,N/A  ,,,,,,,06th Apr 10  ,
2628,37629,Mass Effect 2: Kasumi's Stolen Memory,XBL,Electronic Arts  ,BioWare Edmonton  ,N/A  ,7.2  ,N/A  ,,,,,,,06th Apr 10  ,
2629,37630,Mass Effect 2: Lair of the Shadow Broker,PC,Electronic Arts  ,BioWare Edmonton  ,N/A  ,8.7  ,N/A  ,,,,,,,07th Sep 10  ,
2630,37631,Mass Effect 2: Lair of the Shadow Broker,XBL,Electronic Arts  ,BioWare Edmonton  ,8.5  ,8.7  ,N/A  ,,,,,,,07th Sep 10  ,
2633,37634,Mass Effect 2: Overlord,XBL,Electronic Arts  ,BioWare Edmonton  ,N/A  ,8.5  ,N/A  ,,,,,,,15th Jun 10  ,
2634,37635,Mass Effect 2: Overlord,PC,Electronic Arts  ,BioWare Edmonton  ,N/A  ,8.8  ,N/A  ,,,,,,,15th Jun 10  ,
2635,37636,Mass Effect 2: The Arrival,PSN,Electronic Arts  ,BioWare Edmonton  ,N/A  ,7.0  ,N/A  ,,,,,,,28th Mar 11  ,
2636,37637,Mass Effect 2: The Arrival,XBL,Electronic Arts  ,BioWare Edmonton  ,N/A  ,6.5  ,N/A  ,,,,,,,29th Mar 11  ,
2637,37638,Mass Effect 2: The Arrival,PC,Electronic Arts  ,BioWare Edmonton  ,N/A  ,6.5  ,N/A  ,,,,,,,29th Mar 11  ,
2640,37641,Mass Effect: Bring Down The Sky,XBL,Electronic Arts  ,BioWare Edmonton  ,N/A  ,5.0  ,N/A  ,,,,,,,10th Mar 08  ,
2643,37644,Mass Effect: Pinnacle Station,XBL,Electronic Arts  ,BioWare Edmonton  ,N/A  ,4.5  ,N/A  ,,,,,,,25th Aug 09  ,
2684,37685,Mat Hoffman's Pro BMX,DC,Activision  ,Runecraft  ,N/A  ,7.7  ,N/A  ,,,,,,,11th Sep 01  ,
2726,37727,Max & the Magic Marker,WW,Press Play  ,Press Play  ,N/A  ,7.0  ,N/A  ,,,,,,,08th Mar 10  ,
2728,37729,Max & the Magic Marker: Gold Edition,PSN,Pan Vision   ,Press Play  ,N/A  ,7.0  ,N/A  ,,,,,,,01st Nov 11  ,
2736,37737,Max Steel,DC,Mattel Interactive  ,Treyarch  ,N/A  ,3.9  ,N/A  ,,,,,,,30th May 01  ,
2745,37746,Maximum Pool,DC,Sierra Entertainment  ,Dynamix  ,N/A  ,6.4  ,N/A  ,,,,,,,04th Dec 00  ,
2761,37762,Mazes of Fate,GBA,O3 Entertainment  ,Sabarasa Entertainment  ,N/A  ,6.6  ,N/A  ,,,,,,,06th Dec 06  ,
2769,37770,MDK2,DC,Interplay  ,BioWare Corp.  ,N/A  ,8.9  ,N/A  ,,,,,,,31st Mar 00  ,
2770,37771,MDK2,WW,Interplay  ,Beamdog  ,N/A  ,8.0  ,N/A  ,,,,,,,09th May 11  ,
2775,37776,Me Monstar: Hear Me Roar!,PSN,Unknown  ,Cohort Studios  ,N/A  ,6.5  ,N/A  ,,,,,,,04th Jul 11  ,
2831,37832,Medieval: Total War - Viking Invasion,PC,Activision  ,The Creative Assembly  ,N/A  ,8.2  ,N/A  ,,,,,,,07th May 03  ,
2855,37856,Mega Man 10,WW,Capcom  ,Inti Creates  ,8.2  ,8.3  ,N/A  ,,,,,,,01st Mar 10  ,
2856,37857,Mega Man 10,XBL,Capcom  ,Inti Creates  ,8.2  ,8.4  ,N/A  ,,,,,,,31st Mar 10  ,
2857,37858,Mega Man 10,PSN,Capcom  ,Inti Creates  ,8.2  ,7.9  ,N/A  ,,,,,,,11th Mar 10  ,
2858,37859,Mega Man 2,VC,Capcom  ,Capcom  ,N/A  ,9.5  ,N/A  ,,,,,,,15th Sep 08  ,
2863,37864,Mega Man 4,VC,Capcom  ,Capcom  ,N/A  ,8.0  ,N/A  ,,,,,,,19th Apr 10  ,
2864,37865,Mega Man 5,VC,Capcom  ,Capcom  ,N/A  ,8.5  ,N/A  ,,,,,,,16th Jun 11  ,
2868,37869,Mega Man 9,WW,Capcom  ,Inti Creates  ,9.2  ,8.1  ,N/A  ,,,,,,,22nd Sep 08  ,
2869,37870,Mega Man 9,XBL,Capcom  ,Inti Creates  ,9.2  ,8.1  ,N/A  ,,,,,,,01st Oct 08  ,
