,position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1410,1411,SingStar,PS2,Sony Computer Entertainment  ,SCEE London Studio  ,N/A  ,8.0  ,N/A  ,,1.86m,,1.37m,,0.49m,21st May 04  ,
1415,1416,Kirby's Epic Yarn,Wii,Nintendo  ,Good-Feel  ,N/A  ,8.7  ,N/A  ,1.85m,,,,,,17th Oct 10  ,
1419,1420,Forza Horizon 4,XOne,Microsoft Studios  ,Playground Games  ,N/A  ,9.2  ,N/A  ,,1.84m,0.74m,0.95m,0.01m,0.15m,02nd Oct 18  ,01st Oct 18
1421,1422,Rayman Raving Rabbids 2,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,6.6  ,N/A  ,,1.84m,0.82m,0.82m,,0.20m,15th Nov 07  ,
1427,1428,The Elder Scrolls V: Skyrim Special Edition,XOne,Bethesda Softworks  ,Bethesda Softworks  ,N/A  ,8.1  ,N/A  ,,1.83m,1.13m,0.53m,,0.17m,28th Oct 16  ,01st Apr 18
1430,1431,Donkey Kong Country,GBA,Nintendo  ,Rare Ltd.  ,N/A  ,7.5  ,N/A  ,1.82m,,,,,,09th Jun 03  ,
1432,1433,Star Fox Adventures,GC,Nintendo  ,Rare Ltd.  ,N/A  ,8.1  ,N/A  ,1.82m,,,,,,22nd Sep 02  ,
1434,1435,BioShock Infinite,PS3,2K Games  ,Irrational Games  ,N/A  ,9.5  ,N/A  ,,1.82m,0.74m,0.74m,0.04m,0.30m,26th Mar 13  ,09th Jan 18
1437,1438,The Orange Box,X360,Electronic Arts  ,Valve Software  ,N/A  ,9.7  ,N/A  ,,1.82m,1.09m,0.53m,0.02m,0.17m,10th Oct 07  ,
1439,1440,Crazy Taxi,DC,Sega  ,Hitmaker  ,N/A  ,9.3  ,N/A  ,,1.81m,1.10m,0.51m,0.12m,0.08m,24th Jan 00  ,
1445,1446,Madden NFL 07,X360,EA Sports  ,EA Tiburon  ,N/A  ,8.2  ,N/A  ,,1.80m,1.66m,0.00m,0.01m,0.13m,22nd Aug 06  ,
1447,1448,Dead Rising,X360,Capcom  ,Capcom Production Studio 1  ,N/A  ,8.4  ,N/A  ,1.80m,,,,,,08th Aug 06  ,
1452,1453,Secret of Mana,SNES,Square  ,SquareSoft  ,N/A  ,9.1  ,N/A  ,1.80m,,,,,,03rd Oct 93  ,
1453,1454,Sonic Colors,Wii,Sega  ,Sonic Team  ,N/A  ,7.7  ,N/A  ,1.80m,,,,,,16th Nov 10  ,
1455,1456,Kirby's Return to Dreamland,Wii,Nintendo  ,HAL Laboratory  ,N/A  ,7.6  ,N/A  ,1.79m,,,,,,24th Oct 11  ,
1456,1457,New Play Control! Mario Power Tennis,Wii,Nintendo  ,Camelot Software Planning  ,N/A  ,6.6  ,N/A  ,1.79m,,,,,,09th Mar 09  ,
1460,1461,LEGO Star Wars III: The Clone Wars,Wii,LucasArts  ,Traveller's Tales  ,N/A  ,7.5  ,N/A  ,,1.79m,1.01m,0.62m,,0.15m,22nd Mar 11  ,
1464,1465,Wii Party U,WiiU,Nintendo  ,"Nd Cube Co., Ltd.  ",N/A  ,6.6  ,N/A  ,1.78m,,,,,,25th Oct 13  ,19th Nov 18
1466,1467,Far Cry 5,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.2  ,N/A  ,,1.78m,1.14m,0.47m,,0.17m,27th Mar 18  ,28th Feb 18
1470,1471,Kirby 64: The Crystal Shards,N64,Nintendo  ,HAL Laboratory  ,N/A  ,7.9  ,N/A  ,1.77m,,,,,,26th Jun 00  ,
1471,1472,UFC 2009 Undisputed,PS3,THQ  ,Yuke's Osaka  ,N/A  ,8.4  ,N/A  ,,1.76m,1.07m,0.45m,0.01m,0.24m,19th May 09  ,
1473,1474,High School Musical: Sing It!,Wii,Disney Interactive Studios  ,Artificial Mind and Movement  ,N/A  ,6.4  ,N/A  ,,1.76m,1.15m,0.45m,,0.16m,30th Oct 07  ,
1476,1477,The SpongeBob SquarePants Movie,PS2,THQ  ,Heavy Iron Studios  ,N/A  ,6.6  ,N/A  ,,1.76m,1.06m,0.54m,,0.16m,27th Oct 04  ,
1479,1480,The Legend of Zelda: The Minish Cap,GBA,Nintendo  ,Flagship  ,N/A  ,8.9  ,N/A  ,1.76m,,,,,,10th Jan 05  ,
1482,1483,State of Emergency,PS2,Rockstar Games  ,VIS Entertainment  ,N/A  ,8.0  ,N/A  ,,1.76m,0.86m,0.67m,,0.22m,12th Feb 02  ,
1488,1489,Just Cause 2,PS3,Square Enix  ,Avalanche Studios  ,7.8  ,8.3  ,N/A  ,,1.75m,0.45m,0.92m,0.06m,0.32m,23rd Mar 10  ,
1496,1497,FIFA Soccer 08,PS3,EA Sports  ,EA Canada  ,N/A  ,8.5  ,N/A  ,,1.75m,0.35m,1.07m,0.02m,0.31m,09th Oct 07  ,
1497,1498,Crackdown,X360,Microsoft Game Studios  ,Realtime Worlds  ,N/A  ,8.4  ,7.0  ,,1.75m,1.00m,0.53m,0.03m,0.18m,20th Feb 07  ,
1502,1503,Max Payne 3,PC,Rockstar Games  ,Rockstar Vancouver  ,N/A  ,9.0  ,N/A  ,1.74m,,,,,,29th May 12  ,
1508,1509,SSX Tricky,PS2,EA Sports BIG   ,EA Canada  ,N/A  ,9.2  ,N/A  ,,1.73m,0.85m,0.66m,,0.22m,05th Nov 01  ,
1509,1510,Twisted Metal III,PS,989 Studios  ,989 Studios  ,N/A  ,4.4  ,N/A  ,,1.73m,1.48m,0.20m,,0.05m,31st Oct 98  ,
1511,1512,Mario & Luigi: Partners in Time,DS,Nintendo  ,AlphaDream Corporation  ,N/A  ,8.8  ,N/A  ,1.73m,,,,,,28th Nov 05  ,
1512,1513,Xenoblade Chronicles 2,NS,Nintendo  ,Monolith Soft  ,N/A  ,8.2  ,N/A  ,1.73m,,,,,,01st Dec 17  ,01st Jan 18
1513,1514,Crash Bandicoot: The Huge Adventure,GBA,Vivendi Games  ,Vicarious Visions  ,N/A  ,8.3  ,N/A  ,,1.73m,0.95m,0.70m,,0.08m,25th Feb 02  ,
1514,1515,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,9.7  ,N/A  ,,1.72m,0.85m,0.66m,,0.22m,21st Oct 03  ,
1516,1517,Call of Duty: World at War Final Fronts,PS2,Activision  ,Rebellion Developments  ,N/A  ,6.8  ,N/A  ,,1.72m,0.61m,0.18m,,0.94m,10th Nov 08  ,
1518,1519,Metroid II: Return of Samus,GB,Nintendo  ,Intelligent Systems  ,N/A  ,7.3  ,N/A  ,1.72m,,,,,,26th Aug 91  ,
1520,1521,Titanfall 2,PS4,Electronic Arts  ,Respawn Entertainment  ,N/A  ,8.9  ,N/A  ,,1.72m,0.75m,0.62m,0.06m,0.28m,28th Oct 16  ,29th Jun 18
1525,1526,The Beatles: Rock Band,Wii,MTV Games  ,Harmonix Music Systems  ,9.0  ,9.0  ,N/A  ,,1.71m,1.17m,0.39m,,0.15m,09th Sep 09  ,
1528,1529,Call of Duty: Modern Warfare 3,PC,Activision  ,Infinity Ward  ,N/A  ,8.0  ,N/A  ,,1.71m,0.41m,0.99m,,0.31m,08th Nov 11  ,
1532,1533,Portal 2,PS3,Valve  ,Valve Software  ,N/A  ,9.6  ,N/A  ,,1.71m,0.83m,0.62m,0.02m,0.24m,19th Apr 11  ,
1537,1538,Chrono Cross,PS,Square EA  ,SquareSoft  ,N/A  ,9.7  ,9.5  ,1.70m,,,,,,15th Aug 00  ,
1538,1539,Devil May Cry 2,PS2,Capcom  ,Capcom  ,N/A  ,6.5  ,N/A  ,1.70m,,,,,,25th Jan 03  ,
1539,1540,Dragon Quest V: Hand of the Heavenly Bride,DS,Square Enix  ,ArtePiazza  ,8.4  ,8.6  ,N/A  ,1.70m,,,,,,17th Feb 09  ,
1540,1541,Dragon Quest VI: Realms of Revelation,DS,Nintendo  ,ArtePiazza  ,N/A  ,7.6  ,N/A  ,1.70m,,,,,,14th Feb 11  ,
1542,1543,Final Fantasy II,SNES,Square  ,Square  ,N/A  ,10.0  ,N/A  ,1.70m,,,,,,23rd Nov 91  ,
1544,1545,Kingdom Hearts 358/2 Days,DS,Square Enix  ,High Horse Entertainment  ,8.5  ,7.5  ,N/A  ,1.70m,,,,,,29th Sep 09  ,
1545,1546,Kingdom Hearts: Birth by Sleep,PSP,Square Enix  ,Square Enix  ,N/A  ,7.9  ,N/A  ,1.70m,,,,,,07th Sep 10  ,
1546,1547,Super Princess Peach,DS,Nintendo  ,TOSE Software  ,N/A  ,7.8  ,N/A  ,1.70m,,,,,,27th Feb 06  ,
1548,1549,Tekken 6,X360,Namco Bandai  ,Namco Bandai Games  ,N/A  ,7.8  ,N/A  ,1.70m,,,,,,27th Oct 09  ,
1549,1550,NCAA Football 07,PS2,Electronic Arts  ,EA Sports  ,N/A  ,8.9  ,N/A  ,,1.70m,1.41m,0.05m,,0.23m,18th Jul 06  ,
1552,1553,Sid Meier's Civilization V,PC,2K Games  ,Firaxis Games  ,N/A  ,8.9  ,N/A  ,,1.70m,1.00m,0.53m,,0.17m,21st Sep 10  ,
1553,1554,Cabela's Big Game Hunter 2010,Wii,Activision  ,Cauldron  ,N/A  ,5.5  ,N/A  ,,1.70m,1.58m,,,0.12m,29th Sep 09  ,
1559,1560,Need for Speed: Undercover,X360,Electronic Arts  ,EA Vancouver  ,6.0  ,6.3  ,N/A  ,,1.69m,0.80m,0.70m,0.01m,0.18m,17th Nov 08  ,
1563,1564,Harry Potter and the Sorcerer's Stone,GBA,Electronic Arts  ,Griptonite Games  ,N/A  ,6.6  ,N/A  ,,1.69m,0.87m,0.66m,0.08m,0.08m,15th Nov 01  ,
1564,1565,Dragon Ball Z: The Legacy of Goku,GBA,Infogrames  ,Webfoot Technologies  ,N/A  ,6.5  ,N/A  ,,1.69m,1.52m,0.12m,,0.05m,14th May 02  ,
1565,1566,The Sims 3: Late Night Expansion Pack,PC,Electronic Arts  ,The Sims Studio  ,N/A  ,7.5  ,N/A  ,,1.69m,0.59m,0.88m,,0.22m,26th Oct 10  ,
1567,1568,Far Cry 4,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.5  ,N/A  ,,1.68m,0.85m,0.68m,0.02m,0.14m,18th Nov 14  ,23rd Jan 18
1568,1569,Saints Row 2,PS3,THQ  ,Volition Inc.  ,N/A  ,7.9  ,N/A  ,,1.68m,0.88m,0.54m,0.02m,0.24m,14th Oct 08  ,02nd Apr 18
1570,1571,NFL GameDay 98,PS,Sony Computer Entertainment  ,989 Studios  ,N/A  ,8.6  ,N/A  ,,1.68m,1.58m,0.06m,,0.04m,31st Jul 97  ,
1571,1572,Star Wars Battlefront: Renegade Squadron,PSP,LucasArts  ,Rebellion Developments  ,N/A  ,7.5  ,N/A  ,,1.68m,0.90m,0.47m,,0.32m,09th Oct 07  ,
1572,1573,Time Crisis,PS,Namco  ,Namco  ,N/A  ,8.5  ,N/A  ,,1.68m,0.38m,0.87m,0.33m,0.10m,31st Oct 97  ,
1574,1575,Virtua Fighter 4,PS2,Sega  ,Sega-AM2  ,N/A  ,9.3  ,N/A  ,1.68m,,,,,,17th Mar 02  ,
1576,1577,We Ski,Wii,Namco Bandai  ,Bandai Namco Games  ,N/A  ,7.1  ,N/A  ,,1.68m,0.97m,0.41m,0.14m,0.15m,13th May 08  ,
1580,1581,Dragon Age: Origins,PS3,Electronic Arts  ,BioWare Edmonton  ,8.5  ,8.7  ,N/A  ,,1.67m,0.96m,0.42m,0.08m,0.21m,03rd Nov 09  ,
1584,1585,The Legend of Zelda: Breath of the Wild,WiiU,Nintendo  ,Nintendo EPD  ,N/A  ,10.0  ,10.0  ,1.67m,,,,,,03rd Mar 17  ,19th Nov 18
1586,1587,PGR: Project Gotham Racing 2,XB,Microsoft Game Studios  ,Bizarre Creations  ,N/A  ,8.9  ,N/A  ,,1.67m,0.97m,0.59m,0.04m,0.07m,17th Nov 03  ,
1590,1591,NCAA Football 2004,PS2,Electronic Arts  ,EA Tiburon  ,N/A  ,8.1  ,N/A  ,,1.67m,1.35m,0.09m,,0.23m,16th Jul 03  ,
1591,1592,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,THQ  ,Heavy Iron Studios  ,N/A  ,5.8  ,N/A  ,,1.67m,1.08m,0.45m,,0.14m,31st Oct 03  ,
1592,1593,Big Beach Sports,Wii,THQ  ,HB Studios Multimedia  ,N/A  ,4.9  ,N/A  ,,1.66m,0.45m,1.02m,,0.20m,24th Jun 08  ,
1594,1595,Shaun White Snowboarding: Road Trip,Wii,Ubisoft  ,Ubisoft Montreal  ,8.5  ,7.8  ,N/A  ,,1.66m,0.93m,0.56m,,0.16m,16th Nov 08  ,
1602,1603,Golden Sun,GBA,Nintendo  ,Camelot Software Planning  ,N/A  ,9.1  ,N/A  ,1.65m,,,,,,11th Nov 01  ,
1606,1607,MySims,Wii,Electronic Arts  ,EA Redwood Shores  ,N/A  ,7.1  ,N/A  ,,1.65m,0.90m,0.54m,0.04m,0.17m,18th Sep 07  ,
1607,1608,Need for Speed Carbon,X360,Electronic Arts  ,EA Black Box  ,N/A  ,7.9  ,N/A  ,,1.65m,0.76m,0.69m,0.02m,0.18m,31st Oct 06  ,
1608,1609,Plants vs. Zombies,PC,PopCap Games  ,PopCap Games  ,8.4  ,9.0  ,N/A  ,1.65m,,,,,,05th May 09  ,
1611,1612,Army of Two,X360,Electronic Arts  ,EA Montreal  ,N/A  ,6.7  ,N/A  ,,1.64m,1.09m,0.37m,0.02m,0.16m,07th Mar 08  ,03rd Feb 18
1614,1615,Sonic Mega Collection,GC,Sega  ,Sonic Team  ,N/A  ,7.5  ,N/A  ,1.64m,,,,,,10th Nov 02  ,
1616,1617,Wii Play: Motion,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,5.2  ,N/A  ,1.64m,,,,,,13th Jun 11  ,
1621,1622,Mario Party 6,GC,Nintendo  ,Hudson Soft  ,N/A  ,7.2  ,N/A  ,1.63m,,,,,,06th Dec 04  ,
1622,1623,Pokémon Super Mystery Dungeon,3DS,Nintendo  ,ChunSoft  ,N/A  ,7.7  ,N/A  ,1.63m,,,,,,20th Nov 15  ,03rd Aug 18
1625,1626,Ape Escape,PS,Sony Computer Entertainment  ,SCE Japan Studio  ,N/A  ,9.3  ,N/A  ,,1.63m,0.71m,0.48m,0.32m,0.11m,31st May 99  ,16th Sep 18
1627,1628,Kinectimals,X360,Microsoft Game Studios  ,Frontier Studio  ,7.2  ,7.5  ,N/A  ,,1.62m,1.02m,0.46m,0.00m,0.14m,04th Nov 10  ,
1628,1629,Uncharted: Golden Abyss,PSV,Sony Computer Entertainment  ,SCEA Bend Studio / Naughty Dog  ,N/A  ,7.9  ,N/A  ,,1.62m,0.53m,0.71m,0.13m,0.25m,15th Feb 12  ,
1630,1631,Call of Duty: Black Ops,PC,Activision  ,Treyarch  ,N/A  ,8.5  ,N/A  ,,1.62m,0.58m,0.82m,,0.23m,09th Nov 10  ,
1631,1632,The Order: 1886,PS4,Sony Computer Entertainment  ,Ready at Dawn  ,N/A  ,6.2  ,N/A  ,,1.62m,0.44m,0.86m,0.07m,0.25m,20th Feb 15  ,02nd Jan 18
1632,1633,Rock Band,PS3,MTV Games  ,Harmonix Music Systems  ,9.1  ,9.1  ,N/A  ,,1.62m,0.99m,0.41m,,0.22m,20th Nov 07  ,
1639,1640,Tom Clancy's Ghost Recon Wildlands,XOne,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.7  ,N/A  ,,1.61m,0.98m,0.48m,,0.15m,07th Mar 17  ,01st Apr 18
1641,1642,Rage,X360,Bethesda Softworks  ,id Software  ,N/A  ,7.9  ,N/A  ,,1.60m,0.82m,0.60m,0.03m,0.15m,04th Oct 11  ,
1645,1646,Dragon Quest IV: Chapters of the Chosen,DS,Square Enix  ,ArtePiazza  ,8.0  ,8.1  ,8.0  ,1.60m,,,,,,16th Sep 08  ,
1650,1651,Kingdom Hearts: Chain of Memories,GBA,Square Enix  ,Jupiter Corporation  ,N/A  ,7.4  ,N/A  ,1.60m,,,,,,07th Dec 04  ,
1651,1652,Lost Planet: Extreme Condition,X360,Capcom  ,Capcom  ,N/A  ,7.6  ,N/A  ,1.60m,,,,,,12th Jan 07  ,
1652,1653,Metroid Fusion,GBA,Nintendo  ,Nintendo R&D1  ,N/A  ,9.0  ,N/A  ,1.60m,,,,,,17th Nov 02  ,
1653,1654,Pikmin,GC,Nintendo  ,Nintendo EAD  ,N/A  ,8.1  ,N/A  ,1.60m,,,,,,03rd Dec 01  ,
1654,1655,Resident Evil 4,GC,Capcom  ,Capcom Production Studio 4  ,N/A  ,9.6  ,N/A  ,1.60m,,,,,,11th Jan 05  ,
1655,1656,Sonic Adventure DX: Director's Cut,GC,Sega  ,Sonic Team  ,N/A  ,5.4  ,N/A  ,1.60m,,,,,,18th Jun 03  ,
1656,1657,Sonic Unleashed,Wii,Sega  ,Sonic Team/Dimps Corporation  ,N/A  ,6.7  ,8.2  ,1.60m,,,,,,18th Nov 08  ,
1657,1658,Super Mario Strikers,GC,Nintendo  ,Next Level Games  ,N/A  ,8.0  ,N/A  ,1.60m,,,,,,05th Dec 05  ,
1659,1660,Just Cause 2,X360,Square Enix  ,Avalanche Studios  ,7.8  ,8.0  ,N/A  ,,1.60m,0.59m,0.83m,0.02m,0.17m,23rd Mar 10  ,
1660,1661,Silent Hill,PS,Konami  ,KCET  ,N/A  ,8.9  ,N/A  ,,1.60m,0.71m,0.48m,0.30m,0.10m,31st Jan 99  ,
1663,1664,Sonic Generations,PS3,Sega  ,Sonic Team  ,N/A  ,7.3  ,N/A  ,,1.59m,0.60m,0.72m,0.02m,0.25m,01st Nov 11  ,
1664,1665,LEGO Harry Potter: Years 1-4,X360,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,7.9  ,N/A  ,,1.59m,0.95m,0.50m,,0.14m,29th Jun 10  ,01st Dec 18
1665,1666,Far Cry 2,X360,Ubisoft  ,Ubisoft Montreal  ,7.5  ,8.5  ,N/A  ,,1.59m,0.72m,0.69m,0.02m,0.18m,21st Oct 08  ,
1666,1667,Soul Blade,PS,Namco  ,Namco  ,N/A  ,8.6  ,N/A  ,,1.59m,0.61m,0.41m,0.46m,0.10m,01st Jan 97  ,
1667,1668,Diddy Kong Racing DS,DS,Nintendo  ,Rare Ltd.  ,N/A  ,5.1  ,N/A  ,1.59m,,,,,,05th Feb 07  ,
1669,1670,Pro Evolution Soccer 2008,PS3,Konami  ,Konami  ,N/A  ,7.1  ,N/A  ,,1.59m,0.04m,1.10m,0.32m,0.13m,12th Mar 08  ,
1670,1671,FIFA 16,X360,EA Sports  ,EA Canada  ,N/A  ,9.0  ,N/A  ,,1.59m,0.59m,0.88m,,0.12m,22nd Sep 15  ,01st Apr 18
1673,1674,Final Fantasy XIV Online,PC,Square Enix  ,Square Enix  ,N/A  ,5.3  ,N/A  ,,1.58m,0.93m,0.48m,,0.16m,22nd Sep 10  ,22nd Apr 18
1675,1676,Devil May Cry 4,PS3,Capcom  ,Capcom  ,N/A  ,8.2  ,8.2  ,,1.58m,0.58m,0.45m,0.34m,0.20m,05th Feb 08  ,
1678,1679,LEGO Pirates of the Caribbean: The Video Game,Wii,Disney Interactive Studios  ,Traveller's Tales  ,N/A  ,7.5  ,N/A  ,,1.57m,0.73m,0.69m,,0.15m,10th May 11  ,
1679,1680,Pro Evolution Soccer 2010,PS2,Konami  ,Konami  ,N/A  ,7.2  ,N/A  ,,1.57m,0.10m,0.18m,0.12m,1.16m,10th Nov 09  ,
1682,1683,Kirby: Planet Robobot,3DS,Nintendo  ,HAL Laboratory  ,N/A  ,7.7  ,N/A  ,1.57m,,,,,,10th Jun 16  ,20th Apr 18
1689,1690,AudioSurf,PC,Invisible Handlebar   ,BestGameEver.com  ,N/A  ,8.2  ,9.0  ,1.56m,,,,,,15th Feb 08  ,
1690,1691,Mortal Kombat,PS3,Warner Bros. Interactive  ,NetherRealm Studios  ,N/A  ,8.4  ,N/A  ,,1.56m,1.06m,0.31m,,0.19m,19th Apr 11  ,
1692,1693,Mario Tennis Open,3DS,Nintendo  ,Camelot Software Planning  ,N/A  ,6.6  ,N/A  ,1.56m,,,,,,20th May 12  ,03rd May 19
1693,1694,Yoshi's Woolly World,WiiU,Nintendo  ,Good-Feel  ,N/A  ,7.4  ,6.0  ,1.56m,,,,,,16th Oct 15  ,03rd Aug 20
1694,1695,Mark of the Ninja,PC,Microsoft Studios  ,Klei Entertainment  ,N/A  ,9.3  ,N/A  ,1.56m,,,,,,16th Oct 12  ,12th Aug 18
1696,1697,Twisted Metal,PS,Sony Computer Entertainment  ,SingleTrac  ,N/A  ,7.0  ,N/A  ,,1.56m,1.32m,0.19m,,0.05m,05th Nov 95  ,
1697,1698,BioShock 2,PC,2K Games  ,2K Marin  ,N/A  ,8.5  ,N/A  ,1.56m,,,,,,09th Feb 10  ,
1699,1700,Mafia II,X360,2K Games  ,Illusion Softworks  ,N/A  ,7.2  ,N/A  ,,1.56m,0.85m,0.55m,,0.15m,24th Aug 10  ,
1702,1703,BioShock 2,PS3,2K Games  ,2K Marin  ,9.1  ,8.5  ,N/A  ,,1.55m,0.85m,0.46m,0.02m,0.22m,09th Feb 10  ,
1704,1705,Guitar Hero 5,Wii,Activision  ,Vicarious Visions  ,N/A  ,8.9  ,N/A  ,,1.55m,0.92m,0.48m,,0.15m,01st Sep 09  ,
1705,1706,007: The World is Not Enough,N64,Electronic Arts  ,Eurocom Entertainment Software  ,N/A  ,7.4  ,N/A  ,,1.55m,1.13m,0.38m,0.02m,0.03m,17th Oct 00  ,
1710,1711,Go Vacation,Wii,Namco Bandai  ,Namco Bandai Games  ,N/A  ,7.0  ,N/A  ,,1.54m,0.42m,0.66m,0.33m,0.13m,11th Oct 11  ,
1713,1714,Dark Cloud,PS2,Sony Computer Entertainment  ,Level 5  ,N/A  ,8.2  ,N/A  ,,1.54m,0.83m,0.44m,0.08m,0.19m,28th May 01  ,
1714,1715,Sonic the Hedgehog (2006),X360,Sega  ,Sonic Team  ,N/A  ,4.8  ,4.8  ,1.54m,,,,,,14th Nov 06  ,05th Feb 18
1716,1717,Die Hard Trilogy,PS,Fox Interactive  ,Probe Entertainment Limited  ,N/A  ,8.5  ,N/A  ,,1.54m,0.85m,0.58m,,0.10m,31st Aug 96  ,
1719,1720,Pokémon Ranger: Guardian Signs,DS,Nintendo  ,Creatures Inc.  ,N/A  ,6.5  ,N/A  ,1.53m,,,,,,04th Oct 10  ,
1720,1721,SoulCalibur IV,X360,Namco Bandai  ,Project Soul  ,N/A  ,8.3  ,N/A  ,1.53m,,,,,,29th Jul 08  ,
1731,1732,Fight Night Round 4,PS3,EA Sports  ,EA Canada  ,N/A  ,8.6  ,N/A  ,,1.52m,0.92m,0.40m,,0.20m,23rd Jun 09  ,
1735,1736,Mario vs. Donkey Kong 2: March of the Minis,DS,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,7.7  ,N/A  ,1.52m,,,,,,25th Sep 06  ,
1739,1740,Forza Motorsport 7,XOne,Microsoft Studios  ,Turn 10 Studios  ,N/A  ,8.9  ,N/A  ,,1.52m,0.58m,0.81m,0.01m,0.12m,03rd Oct 17  ,12th Jan 18
1742,1743,Sonic Rivals 2,PSP,Sega  ,Backbone Entertainment  ,N/A  ,6.4  ,N/A  ,,1.52m,0.44m,0.70m,,0.37m,13th Nov 07  ,
1743,1744,Dead Space 2,X360,Electronic Arts  ,Visceral Games  ,N/A  ,9.1  ,N/A  ,,1.52m,0.94m,0.44m,,0.13m,25th Jan 11  ,
1748,1749,Call of Duty: Modern Warfare: Reflex Edition,Wii,Activision  ,Treyarch  ,8.5  ,7.2  ,8.9  ,,1.51m,0.94m,0.43m,,0.14m,10th Nov 09  ,
1750,1751,Call of Duty 3,PS3,Activision  ,Treyarch  ,N/A  ,7.7  ,N/A  ,,1.51m,0.60m,0.63m,0.03m,0.26m,15th Nov 06  ,
1751,1752,Star Wars: The Force Unleashed II,PS3,LucasArts  ,LucasArts  ,N/A  ,6.3  ,N/A  ,,1.51m,0.80m,0.50m,,0.21m,26th Oct 10  ,
1755,1756,Turok: Dinosaur Hunter,N64,Acclaim Entertainment  ,Iguana Entertainment  ,N/A  ,8.9  ,N/A  ,,1.51m,1.14m,0.32m,0.05m,,28th Feb 97  ,
1760,1761,SoulCalibur II,GC,Namco  ,Namco  ,N/A  ,9.2  ,N/A  ,,1.50m,0.99m,0.32m,0.11m,0.08m,27th Aug 03  ,
1762,1763,Metal Gear Rising: Revengeance,PS3,Konami Digital Entertainment  ,PlatinumGames  ,N/A  ,9.0  ,N/A  ,,1.50m,0.47m,0.41m,0.44m,0.18m,19th Feb 13  ,12th Jan 18
1763,1764,NFL Blitz,PS,Midway Games  ,Midway Games  ,N/A  ,9.1  ,N/A  ,,1.50m,1.41m,0.05m,,0.04m,12th Sep 98  ,
1764,1765,Red Faction II,PS2,THQ  ,Volition Inc.  ,N/A  ,8.6  ,N/A  ,,1.50m,0.49m,0.78m,,0.23m,15th Oct 02  ,
1770,1771,Crysis: Warhead,PC,Electronic Arts  ,Crytek  ,N/A  ,8.4  ,N/A  ,1.50m,,,,,,16th Sep 08  ,
1771,1772,Dirge of Cerberus: Final Fantasy VII,PS2,Square Enix  ,Square Enix  ,N/A  ,5.7  ,N/A  ,1.50m,,,,,,15th Aug 06  ,
1773,1774,Heavenly Sword,PS3,Sony Computer Entertainment  ,Ninja Theory  ,N/A  ,8.0  ,N/A  ,1.50m,,,,,,12th Sep 07  ,
1776,1777,Octopath Traveler,NS,Nintendo  ,Square Enix  ,9.0  ,8.1  ,8.7  ,1.50m,,,,,,13th Jul 18  ,02nd Oct 18
1780,1781,Sonic Colors,DS,Sega  ,Sonic Team  ,N/A  ,8.2  ,8.1  ,1.50m,,,,,,16th Nov 10  ,
1781,1782,SoulCalibur II,PS2,Namco  ,Namco  ,N/A  ,9.1  ,N/A  ,1.50m,,,,,,27th Aug 03  ,
1783,1784,WWF No Mercy,N64,THQ  ,Aki Corp.  ,N/A  ,9.1  ,N/A  ,,1.50m,1.20m,0.27m,0.02m,0.02m,17th Nov 00  ,
1784,1785,Rock Band 2,PS3,MTV Games  ,Harmonix Music Systems  ,9.3  ,8.9  ,N/A  ,,1.50m,1.13m,0.20m,,0.16m,19th Oct 08  ,
1785,1786,Football Manager 2012,PC,Sega  ,Sega  ,7.6  ,8.5  ,N/A  ,,1.50m,0.02m,1.16m,,0.32m,21st Oct 11  ,
1788,1789,Mafia II,PS3,2K Games  ,Illusion Softworks  ,N/A  ,7.0  ,N/A  ,,1.49m,0.50m,0.70m,0.04m,0.25m,24th Aug 10  ,
1789,1790,Dead Rising 2,X360,Capcom  ,Blue Castle Games  ,N/A  ,8.2  ,N/A  ,,1.49m,0.75m,0.53m,0.09m,0.13m,28th Sep 10  ,
1794,1795,Resistance 3,PS3,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,8.3  ,N/A  ,,1.49m,0.64m,0.57m,0.05m,0.22m,06th Sep 11  ,
1795,1796,Banjo-Tooie,N64,Nintendo  ,Rare Ltd.  ,N/A  ,9.3  ,N/A  ,1.49m,,,,,,19th Nov 00  ,
1796,1797,Pokémon Mystery Dungeon: Explorers of Sky,DS,Nintendo  ,ChunSoft  ,N/A  ,5.7  ,N/A  ,1.49m,,,,,,12th Oct 09  ,
1800,1801,LEGO Star Wars III: The Clone Wars,X360,LucasArts  ,Traveller's Tales  ,N/A  ,7.9  ,N/A  ,,1.48m,0.84m,0.51m,,0.13m,22nd Mar 11  ,
